p,h2,alpha,K,num,logistic,Method,jump_sign,use_mle,n_keep,r2_1,r2_2,r2_3,r2_est_1,r2_est_2,r2_est_3,h2_est_1,h2_est_2,h2_est_3,p_est_1,p_est_2,p_est_3,alpha_est_1,alpha_est_2,alpha_est_3
0.1,0.1,0,0.2,1,TRUE,SBayesS,,,,0.01642,0.01522,0.01765,0.02538,0.02394,0.02697,0.07366,0.06999,0.07826,0.1093,0.08531,0.1248,0.07796,-0.03783,0.1664
0.1,0.1,0,0.2,1,TRUE,LDSc,,,,,,,,,,0.0841,0.07568,0.09252,,,,,,
0.1,0.1,-0.5,0.02,1,FALSE,LDpred2-auto_noMLE,FALSE,FALSE,15,0.001132,0.0008312,0.001499,0.0008676,0.0006015,0.00113,0.00903,0.006576,0.01072,0.009167,0.00297,0.02128,,,
0.1,0.1,-0.5,0.02,1,FALSE,LDpred2-auto_MLE,FALSE,TRUE,29,0.001209,0.0008944,0.001571,0.0009471,0.0005203,0.001485,0.00869,0.004824,0.01246,0.01118,0.003504,0.02291,0.05708,-0.7022,0.5
0.1,0.1,-0.5,0.02,1,FALSE,SBayesS,,,,0.00126,0.0009446,0.001639,0.001141,0.0008823,0.001473,0.01008,0.008239,0.01216,0.06153,0.04874,0.08092,-0.2972,-0.4348,-0.1904
0.1,0.1,-0.5,0.02,1,FALSE,LDSc,,,,,,,,,,0.01021,0.006611,0.01381,,,,,,
0.1,0.1,-0.5,0.02,1,TRUE,LDpred2-auto_noMLE,FALSE,FALSE,27,0.001151,0.000845,0.00149,0.01104,0.007652,0.01426,0.1157,0.08416,0.1364,0.01033,0.002992,0.02237,,,
0.1,0.1,-0.5,0.02,1,TRUE,LDpred2-auto_MLE,FALSE,TRUE,31,0.0012,0.000898,0.001578,0.01205,0.00662,0.01914,0.1107,0.06215,0.1637,0.01061,0.003625,0.02212,-0.06085,-0.7862,0.5
0.1,0.1,-0.5,0.02,1,TRUE,SBayesS,,,,0.001254,0.0009418,0.001645,0.01431,0.01142,0.01833,0.1231,0.1081,0.1503,0.07763,0.05701,0.09817,-0.009221,-0.1928,0.1024
0.1,0.1,-0.5,0.02,1,TRUE,LDSc,,,,,,,,,,0.1316,0.08529,0.1778,,,,,,
0.1,0.1,-0.5,0.2,1,FALSE,LDpred2-auto_noMLE,FALSE,FALSE,50,0.01633,0.01513,0.01762,0.01537,0.01437,0.01633,0.04797,0.04388,0.05096,0.02255,0.01334,0.03381,,,
0.1,0.1,-0.5,0.2,1,FALSE,LDpred2-auto_MLE,FALSE,TRUE,50,0.01666,0.01544,0.01802,0.0151,0.01346,0.01685,0.04576,0.04003,0.05143,0.02555,0.01667,0.03572,-0.4297,-0.6315,-0.1758
0.1,0.1,-0.5,0.2,1,FALSE,SBayesS,,,,0.01673,0.01553,0.01798,0.01617,0.01524,0.01722,0.0486,0.0459,0.05174,0.1058,0.07708,0.119,-0.2843,-0.4288,-0.1906
0.1,0.1,-0.5,0.2,1,FALSE,LDSc,,,,,,,,,,0.05303,0.04801,0.05806,,,,,,
0.1,0.1,-0.5,0.2,1,TRUE,LDpred2-auto_noMLE,FALSE,FALSE,50,0.0163,0.01511,0.01758,0.024,0.02244,0.02552,0.07486,0.06858,0.07964,0.02192,0.0133,0.03416,,,
0.1,0.1,-0.5,0.2,1,TRUE,LDpred2-auto_MLE,FALSE,TRUE,50,0.01665,0.01548,0.01802,0.02365,0.02106,0.02627,0.07149,0.06253,0.08065,0.02515,0.01675,0.03542,-0.43,-0.6344,-0.183
